"UnitNumber","abff","changetime","opmode","floor"
"R2N0FA70","1","1,766,095,080","DCP","2"
"R2N5K920","1","1,766,095,194","IDL","2"
"R2N1U926","1","1,766,094,944","DCP","5"
"R2N7P451","1","1,766,094,918","DCP","0"
"R2N8R285","1","1,766,094,755","DTC","1"
"D6NK8880","1","1,766,094,536","DCP","19"
"F8S06A55","1","1,766,094,620","DCP","23"
"F8N15Y31","1","1,766,094,959","DCP","18"
"D6S00I60","1","1,766,094,580","DCP","0"
"R2K4A650","1","1,766,094,686","DBF","1"
"R2N4P029","1","1,766,095,494","ESB","8"
"R2N7D251","1","1,766,095,493","DCP","4"
"R2N5S619","1","1,766,094,760","NAV","15"
"R2N9C737","1","1,766,095,383","DTC","0"
"R2N1U926","1","1,766,094,417","DCP","2"
"R2N0GN17","1","1,766,095,380","DCP","4"
"R2N5K920","1","1,766,094,479","IDL","2"
"F8S22A36","1","1,766,094,446","DCP","11"
"F8S22A60","1","1,766,094,774","DCP","0"
"D6N62131","1","1,766,094,633","DTC","1"
"D3N00D96","1","1,766,104,552","DTC","0"
"D6S02436","1","1,766,104,700","",""
"F8N0WDC4","1","1,766,104,421","DCP","1"
"R2S02N11","1","1,766,104,440","DCP","1"
"R2N04Z72","1","1,766,104,522","DCP","0"
"D6N54765","1","1,766,104,482","DCP","0"
"F8N0GFU9","1","1,766,104,222","DCP","17"
"D6NF6853","1","1,766,104,473","DTC","24"
"F8N2J966","1","1,766,104,659","DCP","9"
"R2N8W612","1","1,766,104,576","DCP","11"
"F8N67X54","1","1,766,104,702","NAV","21"
"R2N8H750","1","1,766,104,702","DTC","19"
"D6N50822","1","1,766,104,551","DCP","6"
"F8N8T161","1","1,766,043,740","ESB","1"
"R2N6Y841","1","1,766,043,683","ESB","22"
"F8N1TWC7","1","1,766,043,605","DCP","5"
"F8N87P66","1","1,766,043,746","ESB","1"
"F8N0M250","1","1,766,043,610","DCP","1"
"F8N1FBP8","1","1,766,043,598","DCP","10"
"D6N09220","1","1,766,043,694","ESB","0"
"D6N69430","1","1,766,043,724","ESB","0"
"R2N2P800","1","1,766,043,660","DCP","1"
"F8N64Z62","1","1,766,043,735","NAV","1"
"R2N3Y201","1","1,766,043,565","DTO","8"
"F8N13T03","1","1,766,043,543","DCP","29"
"R2N6X419","1","1,766,043,617","DCP","1"
"R2N0U129","1","1,766,043,740","DBF","2"
"R2N7U017","1","1,766,041,529","HAD","0"
"F8N0EXT6","1","1,766,043,729","ESB","18"
"F8N0PEK8","1","1,766,043,713","NAV","3"
"R2N0G459","1","1,766,043,780","ESB","1"
"R2N9U021","1","1,766,043,603","DCP","0"
"D6N55051","1","1,766,043,649","DCP","3"
"R2N6Y083","1","1,766,043,799","",""
"F8N1MJY1","1","1,766,043,652","NAV","17"
"F8S74B31","1","1,766,043,736","ESB","1"
"R2N5K920","1","1,766,043,757","IDL","2"
"R2NV1238","1","1,766,043,731","IDL","0"
"D7S00559","1","1,766,043,756","DBF","2"
"F8S40B31","1","1,766,043,790","NAV","5"
"F8N2F658","1","1,766,043,743","ESB","1"
"F8N1ENJ1","1","1,766,043,596","DCP","2"
"R2N7R841","1","1,766,043,661","DCP","1"
"R2N01A33","1","1,766,043,643","DCP","6"
"D6N41856","1","1,766,043,657","DCP","1"
"R2N03U01","1","1,766,043,889","",""
"F8N1NHM0","1","1,766,045,279","",""
"R2S02P44","1","1,766,045,228","ESB","6"
"F8N9H214","1","1,766,045,093","DCP","0"
"F8N0NEF0","1","1,766,045,113","DCP","8"
"F8N56N54","1","1,766,045,179","ESB","1"
"R2NV1238","1","1,766,045,254","IDL","0"
"F8N95027","1","1,766,045,246","ESB","1"
"F8N22S64","1","1,766,045,222","ESB","9"
"R2N9T140","1","1,766,045,177","ESB","1"
"R2N9P024","1","1,766,045,148","DCP","12"
"R2N0U911","1","1,766,045,242","ESB","1"
"F8N03465","1","1,766,045,292","ESB","1"
"R2N3H315","1","1,766,044,949","ESB","1"
"R2N9R638","1","1,766,045,145","DCP","18"
"R2NM5545","1","1,766,045,386","ESB","1"
"F8N1GZG2","1","1,766,045,265","HAD","1"
"F8N1LRD9","1","1,766,045,195","NAV","17"
"R2N7Z737","1","1,766,045,100","DCP","1"
"F8N0WZU2","1","1,766,045,075","NAV","1"
"R2N04I93","1","1,766,041,463","",""
