"UnitNumber","insff","inschangetime"
"R2N8K639","1","1,766,094,355"
"R2N8K651","1","1,766,094,567"
"R2N8K651","1","1,766,094,276"
"R2N8R791","1","1,766,094,571"
"R2N8R791","1","1,766,094,646"
"R2N8R791","1","1,766,094,547"
"R2N8K639","1","1,766,094,419"
"R2N8K651","1","1,766,094,460"
"R2N8K651","1","1,766,094,422"
"R2N8K639","1","1,766,094,779"
"R2N8K639","1","1,766,094,758"
"R2N8K651","1","1,766,094,356"
"R2N8R791","1","1,766,094,562"
"R2N8R791","1","1,766,094,815"
"R2N8K639","1","1,766,094,303"
"R2N8K639","1","1,766,094,574"
"R2N8R791","1","1,766,094,458"
"R2N8K651","1","1,766,094,596"
"R2N8K639","1","1,766,094,636"
"R2N8K639","1","1,766,094,872"
"R2N8K651","1","1,766,094,677"
"R2N8K639","1","1,766,094,461"
"R2N8K651","1","1,766,094,841"
"R2N8R791","1","1,766,094,851"
"R2N8K639","1","1,766,094,862"
"R2N8K651","1","1,766,094,464"
"R2N8K651","1","1,766,094,577"
"R2N8R791","1","1,766,094,874"
"R2N8K651","1","1,766,094,396"
"R2N8R791","1","1,766,094,307"
"R2N8K639","1","1,766,094,886"
"R2N8K639","1","1,766,094,465"
"R2N8K639","1","1,766,094,868"
"R2N8R791","1","1,766,094,869"
"R2N8K651","1","1,766,094,471"
"R2N8R791","1","1,766,094,498"
"R2N8R791","1","1,766,094,482"
"R2N8K651","1","1,766,094,600"
"R2N8K651","1","1,766,094,412"
"R2N8K639","1","1,766,094,487"
"R2N8R791","1","1,766,094,650"
"R2N8K639","1","1,766,094,478"
"R2N0E734","1","1,766,094,915"
"R2N8R791","1","1,766,094,606"
"R2N8K639","1","1,766,094,619"
"R2N8R791","1","1,766,094,495"
"R2N8K651","1","1,766,094,651"
"R2N8K651","1","1,766,094,638"
"R2N8K651","1","1,766,094,729"
"R2N8R791","1","1,766,094,876"
"R2N8K639","1","1,766,094,342"
"F8N1CGB9","1","1,766,094,921"
"R2N8K651","1","1,766,094,642"
"R2N8K639","1","1,766,094,881"
"R2N8K651","1","1,766,094,725"
"R2N8K651","1","1,766,094,887"
"R2N8K639","1","1,766,094,516"
"R2N8K639","1","1,766,094,991"
"R2N8R791","1","1,766,094,654"
"R2N8K651","1","1,766,094,735"
"R2N8K639","1","1,766,094,526"
"R2N8K651","1","1,766,094,372"
"F8N1CGB9","1","1,766,094,732"
"R2N8K639","1","1,766,094,496"
"R2N8R791","1","1,766,094,914"
"R2N8R791","1","1,766,094,507"
"R2N8K639","1","1,766,094,393"
"R2N8R791","1","1,766,094,923"
"R2N8K639","1","1,766,094,726"
"R2N8K639","1","1,766,095,021"
"R2N8R791","1","1,766,094,769"
"R2N8R791","1","1,766,094,785"
"D6NK8818","1","1,766,094,639"
"R2N8R791","1","1,766,094,528"
"R2N2P828","1","1,766,095,077"
"R2N8K651","1","1,765,980,016"
"R2N8K651","1","1,765,980,051"
"R2N8K651","1","1,765,980,272"
"R2N8K651","1","1,765,980,310"
"R2N8K651","1","1,765,980,407"
"R2N8R791","1","1,765,980,415"
"R2N8R791","1","1,765,980,446"
"R2N8K651","1","1,765,980,457"
"R2N8R791","1","1,765,980,458"
"R2N8K651","1","1,765,980,461"
"R2N8K651","1","1,765,980,030"
"R2N8K651","1","1,765,980,064"
"R2N8K651","1","1,765,980,068"
"R2N8K651","1","1,765,980,100"
"R2N8R791","1","1,765,980,144"
"R2N8R791","1","1,765,980,171"
"F8N50W45","1","1,765,980,175"
"R2N4E530","1","1,765,980,110"
"R2N8K651","1","1,765,980,213"
"R2N8K651","1","1,765,980,229"
"R2N2S006","1","1,765,980,262"
"R2N8R791","1","1,765,980,271"
"R2N8R791","1","1,765,980,282"
"R2N8R791","1","1,765,980,356"
"R2N8K651","1","1,765,980,371"
"R2N78353","1","1,765,980,405"
"R2N8R791","1","1,765,980,431"
"R2N78353","1","1,765,980,466"
"R2N8R791","1","1,765,980,473"
"R2N8R791","1","1,765,980,500"
"R2N8R791","1","1,765,980,517"
"R2N8R791","1","1,765,980,542"
"R2N8R791","1","1,765,980,552"
"R2N8R791","1","1,765,980,044"
"R2N8R791","1","1,765,980,055"
"R2N8K651","1","1,765,980,090"
"R2N8K651","1","1,765,980,097"
"R2N8R791","1","1,765,980,110"
"F8N50W45","1","1,765,980,124"
"R2N8R791","1","1,765,980,276"
"R2N8R791","1","1,765,980,006"
"F8NHE172","1","1,765,980,007"
"R2N8K651","1","1,765,980,014"
"R2N8K651","1","1,765,980,175"
"R2N8K651","1","1,765,980,194"
"R2N8K651","1","1,765,980,201"
"R2N8K651","1","1,765,980,363"
"R2N8K651","1","1,765,980,060"
"R2N8K651","1","1,765,980,365"
"R2N8R791","1","1,765,980,064"
"R2N4E530","1","1,765,980,110"
"R2N4E530","1","1,765,980,110"
"R2N8R791","1","1,765,980,236"
"R2N8R791","1","1,765,980,240"
"R2N8K651","1","1,765,980,374"
"R2N8K651","1","1,765,980,294"
"F8N50W45","1","1,765,980,071"
"R2N8K651","1","1,765,980,081"
"R2N8K651","1","1,765,980,084"
"R2N8K651","1","1,765,980,072"
"R2N78353","1","1,765,980,398"
"R2N8R791","1","1,765,980,084"
"R2N8R791","1","1,765,980,333"
"R2N8R791","1","1,765,980,381"
"R2N8K651","1","1,765,980,414"
"R2N8K651","1","1,765,980,110"
"R2N8K651","1","1,765,980,003"
"R2N1U916","1","1,765,980,415"
"F8N50W45","1","1,765,980,118"
"R2N8K651","1","1,765,980,120"
"R2N8R791","1","1,765,980,125"
"R2N8R791","1","1,765,980,147"
"R2N8K651","1","1,765,980,485"
"R2N8K651","1","1,765,980,010"
"F8N50W45","1","1,765,980,156"
"R2N78353","1","1,765,980,139"
"R2N78353","1","1,765,980,150"
"R2N8K651","1","1,765,980,446"
"F8N1CGB9","1","1,765,980,448"
"R2N8R791","1","1,765,980,510"
"R2N8R791","1","1,765,980,168"
"F8N50W45","1","1,765,980,168"
"R2N8R791","1","1,765,980,021"
"R2N8K651","1","1,765,980,500"
"R2N8R791","1","1,765,980,521"
"R2N8K651","1","1,765,980,303"
"F8N50W45","1","1,765,980,044"
"F8N1CGB9","1","1,765,980,172"
"R2N8R791","1","1,765,980,505"
"R2N8R791","1","1,765,980,004"
"R2N8K651","1","1,765,980,182"
"R2N8R791","1","1,765,980,188"
"R2N8K651","1","1,765,980,528"
"R2N8R791","1","1,765,980,058"
"R2N8R791","1","1,765,980,320"
"R2N8R791","1","1,765,980,203"
"R2N8R791","1","1,765,980,067"
"R2N4E530","1","1,765,980,110"
"R2N4E530","1","1,765,980,110"
"R2N8K651","1","1,765,980,355"
"R2N8R791","1","1,765,980,092"
"R2N8R791","1","1,765,980,213"
"D6N52535","1","1,765,980,102"
"R2N8K651","1","1,765,980,033"
"R2N3H443","1","1,765,980,213"
"R2N8R791","1","1,765,980,034"
"R2N8K651","1","1,765,980,105"
"R2N8K651","1","1,765,980,035"
"R2N8R791","1","1,765,980,378"
"R2N8K651","1","1,765,980,038"
"R2N8R791","1","1,765,980,119"
"R2N8R791","1","1,765,980,123"
"R2N1Z612","1","1,765,980,124"
"R2N8R791","1","1,765,980,132"
"R2N8K651","1","1,765,980,077"
"R2N8K651","1","1,765,980,148"
"R2N8R791","1","1,765,980,242"
"R2N8K651","1","1,765,980,155"
"R2N8R791","1","1,765,980,158"
"R2N8R791","1","1,765,980,164"
"R2N78353","1","1,765,980,168"
"F8N50W45","1","1,765,980,063"
"R2N8R791","1","1,765,980,115"
"R2N4E530","1","1,765,980,110"
"R2N4E530","1","1,765,980,110"
"R2N4E530","1","1,765,980,110"
"R2N8K651","1","1,765,980,208"
"R2N7F069","1","1,765,980,420"
"R2N8R791","1","1,765,980,422"
"R2N8K651","1","1,765,980,220"
"R2NV6757","1","1,765,980,087"
"R2N8K651","1","1,765,980,227"
"R2N1U913","1","1,765,980,099"
"F8N4E335","1","1,765,980,423"
"R2N8K651","1","1,765,980,126"
"R2N8K651","1","1,765,980,235"
"R2N8R791","1","1,765,980,129"
"R2N8R791","1","1,765,980,496"
"R2N8R791","1","1,765,980,293"
"R2N8K651","1","1,765,980,296"
"R2N8K651","1","1,765,980,254"
"F8N50W45","1","1,765,980,131"
"R2N8K651","1","1,765,980,132"
"R2N8R791","1","1,765,980,264"
"R2N8R791","1","1,765,980,139"
"R2N8K651","1","1,765,980,277"
"F8N50W45","1","1,765,980,146"
"R2N8K651","1","1,765,980,863"
"R2N8K651","1","1,765,980,874"
"R2N8R791","1","1,765,980,874"
"R2N8K651","1","1,765,980,597"
"R2N8K651","1","1,765,980,688"
"R2N8K651","1","1,765,980,878"
"R2N8R791","1","1,765,980,717"
"R2N8R791","1","1,765,980,845"
